id,name,industry,base_currency,base_country
48ca4569-dcdb-41b4-a15d-6acefa6223b6,Kuprowski,Proptech,GBP,United Kingdom
e38faf66-c5be-465c-bb10-c49225bba818,ACTVO,Human Capital Management (HCM),USD,New Zealand
1afdb659-6883-4649-84da-6a1591e6d316,Openproperty,Proptech,GBP,United Kingdom
fc9a20e5-ef29-4558-9e95-e0c1d0c7b744,Go Build,Proptech,GBP,United Kingdom
91ead3b7-09fd-4a39-89cb-4b0057a71fda,Kasssh,Fintech,GBP,United Kingdom
13a2a974-8d77-400f-89bf-332d93f6b977,Biznest,Project Management,GBP,United Kingdom
881c409f-6a7e-4a49-b8a8-bd6f2331ecfc,Cyted,Healthtech,GBP,United Kingdom
44cd39f5-fc7d-4296-a883-60c0fc141595,Popp AI,Human Capital Management (HCM),GBP,United Kingdom
ecbd6b03-42f4-40ad-b694-d86a1fc133ca,Waggle,Human Capital Management (HCM),USD,United Kingdom
6efe55da-4025-4530-91ce-4879d2bc1976,Hunch,Sales and Marketing,GBP,United Kingdom
3aaec89c-440b-4224-a962-f65c7a02ff69,Xeneta,Business Intelligence and Analytics,USD,Norway
41fcddbe-8f8d-4d09-8aa2-27ba57e09270,Thirdfort,Security and Compliance,GBP,United Kingdom
68cbadc1-74a1-4caa-bfbc-42c88fa9b457,Symvan,Fintech,GBP,United Kingdom
7d8bec7c-cd60-4ab2-9e12-785939b00775,Revcat,Revtech,USD,United Kingdom
0cfdfe5d-0557-494f-b75b-5682d9da2360,SalesSourcers,Sales and Marketing,GBP,United Kingdom
f1b3d76f-793f-44b7-bab0-4d4b5cd87644,Demo,Business Intelligence and Analytics,GBP,United Kingdom
cf19f78a-e0b3-4dd5-8097-3af445a409f6,Autometry,Sales and Marketing,GBP,United Kingdom of Great Britain and Northern Ireland (the)
eea98755-2210-4995-a13e-9c0f824f4884,Conversity,Retailtech,GBP,United Kingdom
7e5cb85a-ad85-4b2d-9e7d-9763281c8f8e,Dtime,Business Intelligence and Analytics,GBP,United Kingdom
4a5b339b-41f3-4fd4-b0a5-c12455401fe0,HRoes,Human Capital Management (HCM),GBP,United Kingdom
fba7722c-eb6e-4ee6-b065-a75b3b478a16,Age Group,Retailtech,GBP,United Kingdom
a467f0d0-3d73-4214-b20a-938fe3c8d2dc,Data Gardener,Business Intelligence and Analytics,GBP,United Kingdom
1972713a-0da8-4de3-9f1e-e292f177b590,Mpowa,Business Intelligence and Analytics,GBP,United Kingdom
223859f6-2334-4201-bc91-137ba0eeb2c1,Q-ONLINE,Sales and Marketing,GBP,United Kingdom
bd197c70-71cf-49ac-921d-780874199cdb,Trebel,Social Media Management,USD,United States of America (the)
