id,title,date,industry,country
b81309c3-bdb9-4388-8f97-35d7c30858a6,ChatGPT and Artificial Intelligence In-Depth Overview and Hands On Workshop,2001-04-06T04:00:00.000Z,Accounting,United Kingdom
8b028a4d-ebe3-42e9-a47b-a3318ff68f1b,Accounting Essentials for Small Businesses | Fully Funded Course,2001-04-23T04:00:00.000Z,Accounting,United Kingdom
50843e25-dd21-4b21-8c42-cd0fd0333196,Lunch & Learn - Accounting in a Digital World,2024-05-22T04:00:00.000Z,Accounting,United Kingdom
54601426-8f60-4f37-aaba-05b9248e7de8,Understanding Business Accounts,2024-03-20T04:00:00.000Z,Accounting,United Kingdom
729f7be2-b6d9-4d04-9c61-74445995fc8d,SAGE Cloud Accounting,2024-04-19T04:00:00.000Z,Accounting,United Kingdom
b44e29cd-5e93-4ebf-8e6b-1e0300f076c2,Muslim Tech Fest London 2024,2024-06-01T04:00:00.000Z,Revtech,United Kingdom
a3781da4-7696-4a38-a5af-1d9f4cb9457d,Simple Steps to Scale Your Service Business: From $100k to $1M,2024-03-20T04:00:00.000Z,Revtech,United Kingdom
9475be7f-b657-4b6f-bad8-ab561343396a,London Tech Founders StartUp Pitch Competition with Angel Investors & VCs,2024-03-28T04:00:00.000Z,Revtech,United Kingdom
7a8e6789-228c-4f78-868d-db61c7f15367,eCommerce Platform Face-Off: Shopify vs Magento (Adobe Commerce),2024-03-27T04:00:00.000Z,E-Commerce,United Kingdom
30966af1-5fe0-4524-9c68-bf4d25c17801,Cross Border Commerce Masterclass: For Fashion & FMCG Ecommerce Excellence,2024-05-21T04:00:00.000Z,E-Commerce,United Kingdom
e2b8f651-77af-49c6-a437-bbf848e17496,Digital marketing and e-commerce conference I Business Online '24,2024-10-03T04:00:00.000Z,E-Commerce,United Kingdom
67563a08-c694-42a6-a15f-af6b98a52482,"eCommerce Course, e Commerce Training",2024-03-23T04:00:00.000Z,E-Commerce,United Kingdom
485cfefb-83af-49ed-9473-e2099867d7e2,April Mayfair London Ecommerce Networking - Make New Connections,2024-04-16T04:00:00.000Z,E-Commerce,United Kingdom
76a36f02-14e0-4597-b8a3-efde249e51f6,Manchester eCommerce Summit,2024-04-17T04:00:00.000Z,E-Commerce,United Kingdom
488f181e-9d47-4041-9208-fb2c3a54703b,13th International Conference on the Restructuring of the Global Economy,2024-08-05T04:00:00.000Z,E-Commerce,United Kingdom
e6df4c47-ef86-4c7b-af5f-32aaea8115bf,Creative Business Bootcamp - Mastering Your Online Presence,2024-04-18T04:00:00.000Z,E-Commerce,United Kingdom
78043391-19a8-4383-956e-fae34d7dc0fc,Retailer Dinner,2024-07-02T04:00:00.000Z,E-Commerce,United Kingdom
8a71b26b-118f-4168-a7c9-83652a7375ae,Meet Magento UK 2024: Adobe Commerce and Magento Open Source conference,2024-06-18T04:00:00.000Z,E-Commerce,United Kingdom
17733336-2b10-49bf-85e6-548d1ebf3c2f,"DTC Live North: Manchester, Leading DTC Conference with Rainy City.",2024-05-09T04:00:00.000Z,E-Commerce,United Kingdom
3a82fd7b-c2dd-485d-922f-b98b27150ae0,FUTR Europe 2024,2024-04-30T04:00:00.000Z,E-Commerce,United Kingdom
a6548eba-f72f-4ee5-bbb4-2067f8f51e36,Networking for Young Entrepreneurs,2024-03-29T04:00:00.000Z,E-Commerce,United Kingdom
8c20bd92-8b7f-4406-80e8-3a715531e7cd,Seller Sessions Live 2024,2024-05-11T04:00:00.000Z,E-Commerce,United Kingdom
f3691070-8310-4c02-beda-f77a3b23ab4e,"Investing in a Digital Economy - Forex Trading, Cryptocurrency & AI Tools",2024-03-24T04:00:00.000Z,E-Commerce,United Kingdom
693cb159-2a01-4a46-bf58-34548ddd8e29,Revolutionise Retail,2024-05-02T04:00:00.000Z,E-Commerce,United Kingdom
e336b6b9-0df6-4633-9798-25186803ff8d,rev London Consumer Investors Pitch Event - powered by mediaforgrowth,2024-05-22T04:00:00.000Z,E-Commerce,United Kingdom
6a556359-660f-4a61-ad8f-69cf4832c7f8,The MarTech Summit Customer Experience London May 2024,2024-05-15T04:00:00.000Z,E-Commerce,United Kingdom
3219cf51-8565-45c1-923c-c59cf53df308,"Networking & Talk on Sharing Market Insights, with HAYS",2024-04-25T04:00:00.000Z,E-Commerce,United Kingdom
b5775a70-d0a2-433f-83c4-a811183bd274,Crowborough Chamber of Commerce Business Expo,2024-04-16T04:00:00.000Z,E-Commerce,United Kingdom
ef7c5b97-ac2d-449b-ba26-36882b6da3cc,Q1 ECONOMIC REVIEW - MARCH 2024,2001-03-26T04:00:00.000Z,E-Commerce,United Kingdom
9168b0b7-9237-498b-8259-25675e2ddfc5,Haslemere Chamber of Commerce evening networking meeting.,2024-03-27T04:00:00.000Z,E-Commerce,United Kingdom
deba1154-8b9d-4bc0-8988-3e37965cf58e,Chamber of Commerce - Past & Present,2024-04-08T04:00:00.000Z,E-Commerce,United Kingdom
dd2113e7-0f82-4c0a-9568-f6c5526a7a31,Build A Business: Business Basics - Getting Started!,2024-04-17T04:00:00.000Z,E-Commerce,United Kingdom
1ba20ab8-47ab-4a6c-a1ea-010d237fb73c,Know your Customer,2024-05-09T04:00:00.000Z,E-Commerce,United Kingdom
c8449e88-181b-47cf-a796-dcb8f3bd24c3,"Free, Monthly Networking Lunch by The Commerce Club, York",2024-03-21T04:00:00.000Z,E-Commerce,United Kingdom
b19d9f3a-d951-4413-a3fd-26ab5853a298,RL Business Club: Artificial Intelligence & Technology,2024-04-25T04:00:00.000Z,Business Intelligence and Analytics,United Kingdom
c34734e6-b6ba-45c7-8ce6-fc6550a71252,Microsoft Power BI 2 Days Training in Airdrie,2024-04-04T04:00:00.000Z,Business Intelligence and Analytics,United Kingdom
7b2127a3-299f-443a-b82b-ac73e21d3c7d,Realise Data and AI Opportunities,2024-03-21T04:00:00.000Z,Business Intelligence and Analytics,United Kingdom
954a4d1b-7f63-4609-9e6a-1257e8f6498f,AI x Business Executives Networking Meetup,2024-06-03T04:00:00.000Z,Business Intelligence and Analytics,United Kingdom
6e9c20d3-156d-44f2-97e7-1978d03845c0,Data Analytics for Business Bootcamp,2024-04-09T04:00:00.000Z,Business Intelligence and Analytics,United Kingdom
a4d44d78-5db8-4307-989a-e4709a4fc50e,April Mayfair London Ecommerce Networking - Make New Connections,2024-04-15T21:00:00.000Z,E-Commerce,United Kingdom
468ec750-2f23-409b-bc6f-1342ea0dd443,Manchester eCommerce Summit,2001-04-16T21:00:00.000Z,E-Commerce,United Kingdom
0648cde2-380d-43e4-b359-cf1911a56fc0,Revolutionise Retail,2024-05-01T21:00:00.000Z,E-Commerce,United Kingdom
